feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_spread_per_range,4,11730,11732,0.014117430166888208,0.0006348344375700979,0.013482595729318111,0.6792350715244155,0.49699576014921754,train,0.14554046041169422,1.3598749756423323,True,False,False
f_spread_per_range,48,1933,2053,0.0438406451723556,-0.08150556543269537,0.12534621060505097,0.6753978492624717,0.49946224926976274,train,0.5850678887968883,1.2055747027138903,True,False,False
f_vol_shift,16,2588,2511,0.012087921419546808,0.0699692171447039,-0.05788129572515709,-0.6642102943377989,0.5065871936189592,train,-0.26029578393068353,-0.7293470140889412,True,False,False
f_vol_shift,4,7665,7634,0.004303741287685158,0.019570390373259354,-0.015266649085574197,-0.6361364822591562,0.5246976177549799,train,-0.10134236598785754,-0.7662077543128585,True,False,False
f_atr_ratio,48,1095,1032,0.027598012020445057,0.18470207139842357,-0.1571040593779785,-0.62937359128227,0.5291721777951697,train,-0.716530617319876,-1.056464822126402,True,False,False
f_absorption,48,2059,1866,-0.02193095375429121,0.0947382245789184,-0.11666917833320961,-0.6014578060688358,0.5475700085036947,train,-0.7166747859851963,-1.4185235445186135,True,False,False
f_wick_skew,4,17144,17064,0.0010754966400581645,-0.008113192842810067,0.009188689482868231,0.5732402346303669,0.566485813848254,train,-0.04982851985466443,-0.7750516101638434,False,False,False
f_rsi,48,1847,1868,0.026965512283574404,0.1306196877606644,-0.10365417547709,-0.5168868853926242,0.6052659250743444,train,-0.6647987096642115,-0.9525561138557725,True,False,False
f_efficiency,16,6876,6915,0.05255690800119132,0.026244241018611777,0.02631266698257954,0.4891435033654676,0.6247478848117978,train,0.09639150826407583,0.5658474520978866,True,False,False
f_impulse,16,4780,4119,0.030250115349565964,0.0009065968756322753,0.02934351847393369,0.43713154616564365,0.6620267260247691,train,-0.20027600806878995,-0.9420563432851191,False,False,False
f_tick_intensity,48,1768,1583,0.020818208947730406,-0.05537432246853108,0.07619253141626148,0.369893445085628,0.7114855767865264,train,-0.7930559018840669,-1.1255645013863098,False,False,False
f_dir_eff24,16,4004,5121,0.0382223846712587,0.014361203208745245,0.023861181462513453,0.34883754067827855,0.7272200469512499,train,-0.1288851145719333,-0.7663462660282123,False,False,False
f_absorption,4,12326,10612,0.006405899104165288,0.012869323663827512,-0.006463424559662224,-0.32655250803523145,0.744009377646293,train,-0.10522898995311845,-1.1361552479392585,True,False,False
