tf,strategies,stop_atr,min_stop,hours,n,trades_per_day,avg_stop_usd,cost_pct_of_risk,E_R,win,t,R_per_year,maxDD_R,avg_hold_min
15min,pullback+sweep,2.5,3.0,12-20,333,2.22,8.09,9.9,-0.0626,0.408,-1.07,-12.6,27.6,683.0
15min,pullback+sweep+fade,2.5,3.0,07-20,548,3.28,7.04,11.4,-0.0288,0.392,-0.57,-9.5,41.6,477.0
15min,pullback+sweep+fade,2.5,3.0,12-20,367,2.38,8.06,10.0,-0.0184,0.431,-0.33,-4.1,17.9,684.0
15min,pullback+sweep+fade+vwap,2.5,3.0,07-20,642,3.8,7.38,10.9,-0.0142,0.4,-0.31,-5.5,39.8,515.0
15min,pullback+sweep+fade+vwap,2.5,3.0,12-20,472,2.88,8.28,9.7,0.0375,0.445,0.76,10.7,18.9,705.0
15min,pullback,4.0,3.0,07-20,290,2.01,10.7,7.5,-0.0064,0.455,-0.11,-1.1,31.8,700.0
15min,pullback,4.0,3.0,12-20,209,1.79,12.23,6.6,0.0129,0.493,0.21,1.6,13.6,890.0
15min,pullback+sweep,4.0,3.0,07-20,443,2.7,10.74,7.5,-0.0284,0.422,-0.58,-7.6,40.5,700.0
15min,pullback+sweep,4.0,3.0,12-20,301,2.01,12.54,6.4,-0.0117,0.455,-0.23,-2.1,19.0,928.0
15min,pullback+sweep+fade,4.0,3.0,07-20,468,2.8,10.78,7.5,-0.035,0.421,-0.74,-9.9,38.3,700.0
15min,pullback+sweep+fade,4.0,3.0,12-20,328,2.13,12.45,6.5,0.0172,0.473,0.36,3.4,15.0,911.0
15min,pullback+sweep+fade+vwap,4.0,3.0,07-20,536,3.17,11.32,7.1,-0.0215,0.435,-0.5,-7.0,36.3,761.0
15min,pullback+sweep+fade+vwap,4.0,3.0,12-20,400,2.44,12.81,6.3,0.0422,0.485,0.98,10.2,17.0,922.0
15min,pullback,1.5,5.0,07-20,344,2.39,5.75,14.0,-0.0298,0.398,-0.45,-6.2,34.6,345.0
15min,pullback,1.5,5.0,12-20,238,2.03,5.82,13.8,-0.0327,0.42,-0.44,-4.7,18.6,394.0
15min,pullback+sweep,1.5,5.0,07-20,525,3.2,5.79,13.9,-0.1039,0.349,-1.94,-33.0,74.8,340.0
15min,pullback+sweep,1.5,5.0,12-20,354,2.36,5.92,13.6,-0.0922,0.37,-1.47,-19.7,38.8,414.0
15min,pullback+sweep+fade,1.5,5.0,07-20,557,3.34,5.81,13.8,-0.099,0.355,-1.92,-33.3,72.3,353.0
15min,pullback+sweep+fade,1.5,5.0,12-20,391,2.54,5.92,13.6,-0.0548,0.391,-0.91,-13.0,30.9,428.0
15min,pullback+sweep+fade+vwap,1.5,5.0,07-20,682,4.04,5.95,13.5,-0.0696,0.359,-1.47,-28.7,72.9,412.0
15min,pullback+sweep+fade+vwap,1.5,5.0,12-20,530,3.23,6.03,13.3,-0.0278,0.392,-0.53,-8.9,36.3,464.0
15min,pullback,2.5,5.0,07-20,322,2.24,7.33,11.0,-0.0109,0.416,-0.17,-2.1,35.4,492.0
15min,pullback,2.5,5.0,12-20,223,1.91,7.93,10.1,-0.0411,0.435,-0.58,-5.6,21.6,615.0
15min,pullback+sweep,2.5,5.0,07-20,495,3.02,7.35,10.9,-0.047,0.38,-0.89,-14.1,55.8,501.0
15min,pullback+sweep,2.5,5.0,12-20,332,2.21,8.17,9.8,-0.0446,0.416,-0.76,-9.0,26.0,687.0
15min,pullback+sweep+fade,2.5,5.0,07-20,529,3.17,7.39,10.9,-0.035,0.388,-0.69,-11.2,43.8,509.0
15min,pullback+sweep+fade,2.5,5.0,12-20,366,2.38,8.13,9.9,-0.0109,0.434,-0.19,-2.4,18.2,690.0
15min,pullback+sweep+fade+vwap,2.5,5.0,07-20,621,3.67,7.71,10.4,-0.0206,0.395,-0.45,-7.7,44.1,545.0
15min,pullback+sweep+fade+vwap,2.5,5.0,12-20,468,2.85,8.38,9.6,0.0456,0.451,0.93,12.9,17.7,714.0
15min,pullback,4.0,5.0,07-20,291,2.02,10.75,7.5,-0.0074,0.454,-0.12,-1.3,31.8,723.0
15min,pullback,4.0,5.0,12-20,209,1.79,12.24,6.6,0.0124,0.493,0.21,1.6,13.6,890.0
15min,pullback+sweep,4.0,5.0,07-20,444,2.71,10.78,7.5,-0.0273,0.423,-0.56,-7.3,40.5,715.0
15min,pullback+sweep,4.0,5.0,12-20,301,2.01,12.55,6.4,-0.0121,0.455,-0.24,-2.2,19.0,928.0
15min,pullback+sweep+fade,4.0,5.0,07-20,469,2.81,10.81,7.4,-0.034,0.422,-0.72,-9.7,38.3,715.0
15min,pullback+sweep+fade,4.0,5.0,12-20,328,2.13,12.45,6.5,0.0169,0.473,0.35,3.3,15.0,911.0
15min,pullback+sweep+fade+vwap,4.0,5.0,07-20,537,3.18,11.35,7.1,-0.0206,0.436,-0.48,-6.7,36.3,774.0
15min,pullback+sweep+fade+vwap,4.0,5.0,12-20,400,2.44,12.82,6.3,0.042,0.485,0.98,10.1,17.1,922.0
15min,pullback,1.5,8.0,07-20,291,2.02,8.58,9.4,0.0,0.436,0.0,0.0,36.7,594.0
15min,pullback,1.5,8.0,12-20,212,1.81,8.6,9.4,-0.0169,0.458,-0.24,-2.2,17.6,716.0
15min,pullback+sweep,1.5,8.0,07-20,441,2.69,8.55,9.4,-0.0046,0.404,-0.08,-1.2,43.5,579.0
15min,pullback+sweep,1.5,8.0,12-20,310,2.07,8.62,9.3,-0.0318,0.413,-0.51,-6.0,20.9,733.0
15min,pullback+sweep+fade,1.5,8.0,07-20,468,2.8,8.57,9.4,-0.0079,0.41,-0.15,-2.2,38.3,589.0
15min,pullback+sweep+fade,1.5,8.0,12-20,340,2.21,8.61,9.3,0.0097,0.438,0.16,2.0,12.2,738.0
15min,pullback+sweep+fade+vwap,1.5,8.0,07-20,569,3.37,8.6,9.4,0.0058,0.418,0.12,2.0,44.1,610.0
15min,pullback+sweep+fade+vwap,1.5,8.0,12-20,445,2.71,8.57,9.4,0.0435,0.436,0.84,11.7,18.6,717.0
15min,pullback,2.5,8.0,07-20,291,2.02,9.01,8.9,-0.0026,0.436,-0.04,-0.5,36.0,613.0
15min,pullback,2.5,8.0,12-20,210,1.79,9.2,8.7,-0.0009,0.467,-0.01,-0.1,15.7,740.0
15min,pullback+sweep,2.5,8.0,07-20,439,2.68,9.07,8.9,-0.0028,0.415,-0.05,-0.7,41.2,613.0
15min,pullback+sweep,2.5,8.0,12-20,309,2.06,9.36,8.6,-0.0195,0.43,-0.33,-3.6,18.7,783.0
15min,pullback+sweep+fade,2.5,8.0,07-20,466,2.79,9.1,8.8,-0.0008,0.423,-0.02,-0.2,35.9,623.0
15min,pullback+sweep+fade,2.5,8.0,12-20,338,2.19,9.36,8.6,0.0202,0.456,0.36,4.1,13.3,787.0
15min,pullback+sweep+fade+vwap,2.5,8.0,07-20,556,3.29,9.35,8.6,0.0091,0.433,0.2,3.1,41.6,651.0
15min,pullback+sweep+fade+vwap,2.5,8.0,12-20,435,2.65,9.51,8.5,0.0668,0.462,1.36,17.6,14.3,787.0
15min,pullback,4.0,8.0,07-20,283,1.97,11.26,7.1,-0.0145,0.459,-0.24,-2.5,31.6,720.0
15min,pullback,4.0,8.0,12-20,206,1.76,12.4,6.5,0.0241,0.495,0.4,3.0,13.6,904.0
15min,pullback+sweep,4.0,8.0,07-20,426,2.6,11.33,7.1,-0.0235,0.432,-0.49,-6.1,36.6,732.0
15min,pullback+sweep,4.0,8.0,12-20,296,1.97,12.71,6.3,-0.0039,0.456,-0.08,-0.7,18.3,944.0
15min,pullback+sweep+fade,4.0,8.0,07-20,450,2.69,11.37,7.1,-0.0236,0.431,-0.5,-6.4,32.1,736.0
15min,pullback+sweep+fade,4.0,8.0,12-20,321,2.08,12.68,6.3,0.0307,0.477,0.63,6.0,12.0,939.0
15min,pullback+sweep+fade+vwap,4.0,8.0,07-20,520,3.08,11.93,6.7,-0.0182,0.45,-0.43,-5.7,36.1,781.0
15min,pullback+sweep+fade+vwap,4.0,8.0,12-20,391,2.38,13.0,6.2,0.051,0.486,1.17,12.0,12.9,941.0
15min,pullback,1.5,12.0,07-20,274,1.9,12.55,6.4,0.0129,0.485,0.23,2.1,22.7,785.0
15min,pullback,1.5,12.0,12-20,204,1.74,12.56,6.4,0.0491,0.525,0.84,6.1,9.1,935.0
15min,pullback+sweep,1.5,12.0,07-20,384,2.34,12.48,6.4,-0.0144,0.448,-0.3,-3.3,28.9,809.0
15min,pullback+sweep,1.5,12.0,12-20,285,1.9,12.56,6.4,0.0376,0.474,0.73,6.5,9.9,982.0
15min,pullback+sweep+fade,1.5,12.0,07-20,406,2.43,12.5,6.4,-0.042,0.431,-0.9,-10.3,32.7,807.0
15min,pullback+sweep+fade,1.5,12.0,12-20,309,2.01,12.54,6.4,0.0553,0.482,1.12,10.3,10.0,973.0
15min,pullback+sweep+fade+vwap,1.5,12.0,07-20,477,2.82,12.48,6.4,-0.0274,0.434,-0.66,-7.9,36.6,858.0
15min,pullback+sweep+fade+vwap,1.5,12.0,12-20,381,2.32,12.5,6.4,0.1008,0.486,2.24,23.3,12.3,998.0
15min,pullback,2.5,12.0,07-20,274,1.9,12.63,6.4,0.0129,0.485,0.23,2.1,22.7,785.0
15min,pullback,2.5,12.0,12-20,204,1.74,12.66,6.4,0.0494,0.525,0.85,6.1,9.1,935.0
15min,pullback+sweep,2.5,12.0,07-20,384,2.34,12.61,6.4,-0.0118,0.451,-0.25,-2.8,28.9,819.0
15min,pullback+sweep,2.5,12.0,12-20,285,1.9,12.75,6.3,0.0411,0.477,0.81,7.1,9.9,996.0
15min,pullback+sweep+fade,2.5,12.0,07-20,405,2.43,12.65,6.4,-0.0372,0.435,-0.81,-9.1,32.7,818.0
15min,pullback+sweep+fade,2.5,12.0,12-20,308,2.0,12.73,6.3,0.0619,0.487,1.27,11.5,10.0,990.0
15min,pullback+sweep+fade+vwap,2.5,12.0,07-20,474,2.8,12.73,6.3,-0.0269,0.437,-0.65,-7.7,36.6,867.0
15min,pullback+sweep+fade+vwap,2.5,12.0,12-20,378,2.3,12.77,6.3,0.1017,0.489,2.28,23.3,12.3,1009.0
15min,pullback,4.0,12.0,07-20,272,1.89,13.34,6.0,0.0106,0.493,0.19,1.7,21.3,812.0
15min,pullback,4.0,12.0,12-20,204,1.74,13.81,5.8,0.0471,0.525,0.84,5.8,8.7,958.0
15min,pullback+sweep,4.0,12.0,07-20,379,2.31,13.46,6.0,-0.0253,0.454,-0.55,-5.8,29.3,827.0
15min,pullback+sweep,4.0,12.0,12-20,282,1.88,14.08,5.7,0.0401,0.482,0.83,6.8,10.1,1023.0
15min,pullback+sweep+fade,4.0,12.0,07-20,399,2.39,13.54,5.9,-0.0478,0.439,-1.08,-11.5,32.7,826.0
15min,pullback+sweep+fade,4.0,12.0,12-20,304,1.97,14.1,5.7,0.0634,0.493,1.35,11.7,10.2,1016.0
15min,pullback+sweep+fade+vwap,4.0,12.0,07-20,463,2.74,14.03,5.7,-0.0352,0.454,-0.89,-9.9,36.7,883.0
15min,pullback+sweep+fade+vwap,4.0,12.0,12-20,367,2.24,14.47,5.6,0.0892,0.499,2.11,19.8,12.8,1045.0
30min,pullback,1.5,3.0,07-20,233,2.1,5.75,14.0,0.0485,0.438,0.61,6.9,23.7,375.0
30min,pullback,1.5,3.0,12-20,164,1.78,6.24,12.9,0.0421,0.457,0.47,4.2,11.7,494.0
30min,pullback+sweep,1.5,3.0,07-20,365,2.52,5.73,14.0,0.0261,0.425,0.41,5.8,23.8,378.0
30min,pullback+sweep,1.5,3.0,12-20,251,1.98,6.31,12.7,0.031,0.45,0.42,4.8,16.5,510.0
30min,pullback+sweep+fade,1.5,3.0,07-20,387,2.65,5.76,14.0,0.0581,0.434,0.91,13.6,16.1,385.0
30min,pullback+sweep+fade,1.5,3.0,12-20,267,2.05,6.34,12.7,0.0524,0.453,0.72,8.6,12.5,519.0
30min,pullback+sweep+fade+vwap,1.5,3.0,07-20,450,2.98,5.96,13.5,0.018,0.416,0.32,4.9,25.8,460.0
30min,pullback+sweep+fade+vwap,1.5,3.0,12-20,333,2.38,6.5,12.4,0.0009,0.423,0.01,0.2,19.4,597.0
30min,pullback,2.5,3.0,07-20,212,1.91,9.25,8.7,-0.0,0.448,-0.0,-0.0,26.9,644.0
30min,pullback,2.5,3.0,12-20,156,1.7,10.17,7.9,0.0098,0.474,0.13,0.9,15.6,775.0
30min,pullback+sweep,2.5,3.0,07-20,328,2.26,9.28,8.7,-0.0408,0.424,-0.69,-8.1,24.5,661.0
30min,pullback+sweep,2.5,3.0,12-20,230,1.81,10.35,7.8,0.0201,0.478,0.32,2.8,16.0,828.0
30min,pullback+sweep+fade,2.5,3.0,07-20,347,2.38,9.29,8.7,-0.007,0.432,-0.11,-1.5,22.8,789.0
30min,pullback+sweep+fade,2.5,3.0,12-20,244,1.88,10.38,7.7,0.0604,0.488,0.87,9.0,15.4,1011.0
30min,pullback+sweep+fade+vwap,2.5,3.0,07-20,402,2.66,9.62,8.4,-0.0291,0.415,-0.52,-7.1,22.3,847.0
30min,pullback+sweep+fade+vwap,2.5,3.0,12-20,297,2.12,10.61,7.6,0.029,0.461,0.49,5.3,15.5,1048.0
30min,pullback,4.0,3.0,07-20,191,1.72,14.42,5.6,-0.0165,0.503,-0.26,-1.9,18.8,1169.0
30min,pullback,4.0,3.0,12-20,146,1.59,16.02,5.0,-0.0094,0.521,-0.15,-0.8,9.0,1442.0
