feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_dir_eff6,4,1017,1242,0.014579153703039194,0.04695979557546611,-0.03238064187242692,-0.5042335849184852,0.6141493584775826,train,-0.1650284754230598,-1.0871334234009182,True,False,False
f_spread_stress,16,289,334,0.0918967266891928,-0.01874781763689353,0.11064454432608634,0.45625558498372987,0.6483662196762888,train,0.7984311794760417,0.6842657701032315,True,False,False
f_efficiency,16,577,576,0.05055816246289053,0.13254334607871107,-0.08198518361582055,-0.4407364995936794,0.6594865667878573,train,0.3934734060397981,0.6748983398859125,False,False,False
f_close_loc,4,1432,1438,-0.057368794111334345,-0.032237517460192516,-0.02513127665114183,-0.4398310441813726,0.6600930227439774,train,-0.16000898498007704,-1.3740398567647318,True,False,False
f_run_signed,4,723,1458,-0.010794661322574246,0.018193938732032025,-0.02898860005460627,-0.42347432415684977,0.6720122819164943,train,-0.0469251781402191,-0.5574924717067572,True,False,False
f_close_loc,16,583,582,-0.08000076345446377,-0.008321113404715627,-0.07167965004974815,-0.4139725237741799,0.678970724792621,train,0.30112235464464343,0.5382174942885302,False,False,False
f_atr_ratio,4,704,715,0.002575028543010748,-0.026709785057852375,0.029284813600863123,0.35614674475413766,0.7217852349448619,train,-0.0021858160226983503,-0.008468931618161752,False,False,False
f_spread_stress,48,132,146,0.009426270394056373,0.21863681245221767,-0.20921054205816128,-0.3358400369220007,0.7372469697440546,train,,,False,False,False
f_rsi,16,298,290,0.08225105362397175,-0.004337562049308852,0.0865886156732806,0.3236291906094287,0.7463342493852493,train,1.0055814964880283,1.2174847100488941,True,False,False
f_vol_shift,48,148,153,0.2709053856155618,0.46302622722891085,-0.19212084161334902,-0.32256218517788326,0.7472523550107281,train,0.15343926271174446,0.2046221233762712,False,False,False
f_wick_skew,48,220,222,0.17426925307903454,0.031456412682379614,0.14281284039665493,0.2880858213290279,0.7734179137537383,train,0.3867381172251374,0.23488922842860416,True,False,False
f_dir_eff24,4,753,919,-0.009066332125332751,0.011467762398959901,-0.020534094524292654,-0.27256151866562567,0.7852241598163164,train,-0.13181179874306276,-1.3648160758856627,True,False,False
f_range_z,16,512,484,0.035221409089783946,0.08369945360626058,-0.04847804451647663,-0.2493780164829217,0.8031204485838087,train,0.3641410215535521,0.575196586928415,False,False,False
f_atr_ratio,48,165,159,0.18289564256197996,0.3232742614925839,-0.14037861893060397,-0.2321713014542086,0.8165629252156472,train,-0.6417426446240473,-0.28326281584999163,True,False,False
f_wick_skew,16,570,577,0.024404292538535138,0.06796941914733884,-0.0435651266088037,-0.23131403233152997,0.8171121803509137,train,0.1670664204441421,0.2621216583015445,False,False,False
f_spread_per_range,16,488,503,0.028692091919367453,0.06919571295998586,-0.04050362104061841,-0.21327649537868806,0.831156287561393,train,0.12885350913492588,0.18017630470357301,False,False,False
