feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_run_signed,16,1625,2253,0.0014431997362076197,0.04671380813991839,-0.04527060840371077,-0.428262494352193,0.6684863984018676,train,0.03286825090332168,0.12117794876533304,False,False,False
f_atr_ratio,16,842,856,0.12419777771505483,0.06075586731961504,0.06344191039543978,0.42317733357401893,0.6722200760710801,train,-0.5853929816490225,-1.2100346767568975,False,False,False
f_absorption,48,662,676,0.16816665901974787,0.03428760510257404,0.13387905391717383,0.416956394412011,0.6767803896756005,train,0.16532098908423232,0.2515990614073677,True,False,False
f_wick_skew,48,861,862,0.16568810984158258,0.040654684003510584,0.125033425838072,0.4122455225045724,0.6802108185588785,train,0.1590010357603684,0.2839879981919979,True,False,False
f_vol_shift,4,2529,2469,0.050404238231880644,0.0666754941907306,-0.016271255958849956,-0.41044124566819407,0.6815009388530524,train,-0.09066118116226073,-0.6167200767142693,True,False,False
f_dir_eff24,48,646,755,-0.03824255752340543,0.09756545055107578,-0.1358080080744812,-0.4003006024305509,0.6889993840102288,train,-0.0677674011522762,-0.12826530055887478,True,False,False
f_dir_eff24,16,1275,1636,0.00445741954231399,0.045548930300333176,-0.04109151075801919,-0.34692992394232275,0.7286707015750533,train,-0.27338926379130635,-1.0089513753526127,True,False,False
f_dir_eff6,16,1896,2122,0.0314185322899264,0.06498344171348285,-0.033564909423556444,-0.32401498123458167,0.7459439042337418,train,0.022510245695409437,0.09703770044872312,False,False,False
f_tick_intensity,16,1275,1168,0.04773816492837544,0.004802117413499197,0.042936047514876244,0.32120397677033197,0.7480865064537254,train,-0.2811438527350468,-1.0330073984232853,False,False,False
f_impulse,16,1584,1402,0.020347646971679744,-0.01709948667028036,0.037447133641960104,0.31444965487500987,0.7532027006118598,train,-0.24336287020146774,-1.0938860077388812,False,False,False
f_spread_stress,48,580,592,0.2379139317125534,0.14480421376272035,0.09310971794983305,0.299300460753874,0.7647641293364709,train,0.23464359559621883,0.3106137165676469,True,False,False
f_wick_skew,4,5552,5551,0.016492415338577985,0.008154098418420488,0.008338316920157497,0.29010983630815335,0.7717376330479572,train,0.010333256114364836,0.27702298033690237,True,False,False
f_close_loc,48,862,863,0.051706775710391395,-0.03082557227862432,0.08253234798901571,0.2819230815964676,0.7780363544711525,train,-0.11735633059312822,-0.18980977626776918,False,False,False
f_efficiency,48,861,863,0.09601915145417071,0.17967580985216103,-0.08365665839799032,-0.2801896453390138,0.7793658107960384,train,-0.3814928113198198,-0.8328963700964632,True,False,False
f_run_signed,48,753,863,0.03328067727509365,0.11501436656889912,-0.08173368929380546,-0.25974261212188415,0.7950956884697943,train,-0.14868301666358863,-0.24197447461784796,True,False,False
f_spread_per_range,48,668,690,0.04481403303826665,-0.026637642489229656,0.0714516755274963,0.22112842893714868,0.8250260902353598,train,0.15816592498725401,0.23005567204073232,True,False,False
f_dir_eff6,4,3994,4871,0.020256962065795695,0.013141775391333918,0.007115186674461777,0.21825064380564682,0.8272392022229259,train,0.021049908186487068,0.5175355165968464,True,False,False
f_impulse,4,3693,3459,-0.0031652201148473784,0.004135291332317578,-0.007300511447164957,-0.19579868300056227,0.8447745214391653,train,-0.09818801288024767,-0.9711497439224037,True,False,False
f_rsi,48,592,600,0.01302588633447307,0.05986330011107,-0.046837413776596934,-0.12324149683219085,0.9019366820498522,train,-0.0019016488910564844,-0.004092351734127009,True,False,False
f_run_signed,4,2854,5585,0.016354186367230395,0.013078129339817638,0.0032760570274127567,0.0940599472684945,0.9250647959074507,train,0.1229815239138843,1.0271587227968317,True,False,False
f_absorption,16,1478,1478,0.008928303915617197,-0.00235149783021273,0.011279801745829926,0.09279317298491951,0.9260742331521868,train,0.19014344379272238,0.6716354892219235,True,False,False
f_tick_intensity,4,3100,3069,0.026549414592636503,0.02456422368431727,0.0019851909083192336,0.0480204432780757,0.9617019149806024,train,-0.13199654166258223,-1.1787674771619703,False,False,False
f_vol_of_vol,4,2371,2572,-0.0021745445070866488,-0.0002411816822149721,-0.0019333628248716767,-0.04793321829522698,0.961771457370095,train,-0.11190307387548484,-0.7718670113474028,True,False,False
